"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2017",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over
,,Total (Number),,,,,,,,,,,,,,,,,,
Total,Total,"3,965,800","187,650","200,580","206,250","232,970","259,070","290,200","279,340","300,960","311,480","303,460","312,810","301,680","262,650","203,970","119,490","91,950","54,340","46,940"
Ang Mo Kio,Total,"166,820","5,930","6,710","7,590","8,450","9,600","11,150","10,150","11,850","12,640","12,390","13,200","13,220","12,950","11,640","7,440","5,890","3,330","2,670"
,Ang Mo Kio Town Centre,"4,940",200,290,320,280,260,310,320,370,460,450,370,310,280,280,160,150,70,60
,Cheng San,"28,350","1,130","1,090","1,140","1,270","1,450","1,840","1,970","2,320","2,220","2,170","2,250","2,130","2,240","2,070","1,210",930,530,390
,Chong Boon,"26,740",860,910,"1,040","1,300","1,390","1,750","1,730","1,940","1,960","1,880","2,170","2,130","2,160","2,010","1,430","1,100",570,430
,Kebun Bahru,"22,620",690,810,980,"1,110","1,280","1,480","1,290","1,500","1,670","1,730","1,870","1,820","1,780","1,670",1120,900,510,410
,Sembawang Hills,"6,800",200,320,410,520,550,510,300,300,460,520,540,550,450,420,260,220,140,140
,Shangri-La,"16,800",560,650,740,820,"1,030","1,050",980,"1,090","1,210","1,250","1,440","1,410","1,350","1,120",790,640,370,320
,Tagore,"8,130",280,340,430,520,660,700,400,430,550,570,650,730,650,460,260,210,150,130
,Townsville,"22,690",950,"1,030",940,870,"1,120","1,450","1,450","1,840","1,830","1,530","1,570","1,760","1,710","1,590","1,120",970,540,440
,Yio Chu Kang,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Yio Chu Kang East,"4,030",150,150,210,260,330,320,220,230,260,290,310,340,330,260,150,100,70,60
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Yio Chu Kang West,"25,690",910,"1,130","1,380","1,520","1,530","1,740","1,500","1,820","2,020","2,000","2,040","2,040","2,000","1,760",940,690,380,290
Bedok,Total,"284,930","10,980","12,510","13,620","15,870","18,160","20,560","17,500","19,580","21,630","21,310","22,260","23,160","21,300","18,210","10,910","8,050","4,940","4,400"
,Bayshore,"7,310",390,480,480,410,340,320,360,670,880,770,630,420,390,310,180,110,70,110
,Bedok North,"83,810","2,960","3,440","3,680","4,690","5,310","5,880","4,880","5,790","6,230","6,080","6,870","7,060","6,440","5,660","3,560","2,530","1,500","1,260"
,Bedok Reservoir,"26,190","1,250","1,420","1,520","1,610","1,570","1,790","1,880","2,060","2,270","2,120","2,000","1,940","1,790","1,380",660,470,250,210
,Bedok South,"48,990","1,750","1,950","2,310","2,660","3,160","3,530","2,830","3,030","3,360","3,610","3,830","4,080","3,720","3,350","2,140","1,720","1,050",910
,Frankel,"33,900","1,590","2,020","1,920","1,820","1,970","2,060","1,870","2,550","3,240","2,910","2,440","2,180","2,090","1,900",1110,880,660,690
,Kaki Bukit,"39,430","1,340","1,490","1,800","2,380","3,060","3,470","2,660","2,460","2,540","2,620","3,100","3,720","3,320","2,500","1,280",850,460,400
,Kembangan,"38,690","1,530","1,440","1,640","1,980","2,370","3,090","2,700","2,590","2,590","2,680","2,910","3,270","3,110","2,600","1,590","1,190",730,690
,Siglap,"6,620",180,270,280,340,390,420,330,420,510,520,490,490,440,510,400,300,210,130
Bishan,Total,"90,280","3,250","4,080","4,560","5,040","6,260","7,360","5,130","5,690","6,650","6,780","7,240","7,600","6,910","5,430","3,140","2,430","1,460","1,300"
,Bishan East,"28,970",990,"1,230","1,360","1,410","1,790","2,650","1,850","1,880","2,150","2,120","2,120","2,470","2,360","1,930",1030,830,460,340
,Marymount,"30,680","1,250","1,460","1,690","1,890","2,430","2,490","1,720","2,030","2,310","2,280","2,660","2,590","2,150","1,560",880,610,340,330
,Upper Thomson,"30,630",1000,"1,380","1,510","1,740","2,040","2,220","1,560","1,780","2,190","2,380","2,460","2,540","2,410","1,940","1,220",990,660,630
Boon Lay,Total,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Liu Fang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Samulun,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Shipyard,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bukit Batok,Total,"138,290","5,090","6,290","7,300","8,750","9,680","10,940","9,220","9,460","10,360","10,920","11,730","11,930","10,360","7,170","3,690","2,640","1,480","1,280"
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bukit Batok Central,"25,120",910,"1,170","1,270","1,470","1,570","2,140","1,660","1,700","1,840","1,940","1,990","2,130","2,020","1,420",760,540,320,270
,Bukit Batok East,"13,820",390,540,660,770,890,"1,100",990,950,"1,050","1,020","1,110","1,300","1,220",830,420,300,170,130
,Bukit Batok South,"14,020",550,620,770,"1,010","1,170","1,220",980,920,930,"1,120","1,260","1,290",990,580,260,180,100,70
,Bukit Batok West,"15,730",650,770,830,920,1000,"1,240","1,240","1,140","1,180","1,160","1,200","1,300","1,200",880,420,280,180,150
,Gombak,"10,110",480,630,550,560,610,650,690,920,910,750,750,660,620,530,310,240,140,110
,Guilin,"13,290",530,620,740,800,900,920,900,970,"1,160","1,170","1,180","1,020",860,630,340,280,140,160
,Hillview,"18,780",640,760,"1,100","1,490","1,590","1,330",940,1010,"1,380","1,700","1,940","1,650","1,250",900,440,320,170,170
,Hong Kah North,"27,420",950,"1,190","1,380","1,730","1,960","2,350","1,840","1,860","1,920","2,060","2,300","2,600","2,190","1,410",740,500,260,210
Bukit Merah,Total,"152,790","6,720","7,000","6,520","6,690","7,250","9,550","9,790","11,840","12,400","11,300","11,090","11,250","10,990","10,400","6,920","6,130","3,680","3,280"
,Alexandra Hill,"14,830",500,580,670,790,880,"1,050",850,840,980,980,"1,150","1,210","1,180","1,160",670,580,390,380
,Alexandra North,"1,060",80,60,50,60,40,60,80,120,130,100,90,40,50,30,20,10,10,10
,Bukit Ho Swee,"15,650",670,640,530,630,700,990,"1,070","1,160","1,080",990,"1,210","1,290","1,270","1,130",770,680,430,430
,Bukit Merah,"1,150",40,60,60,60,70,70,80,80,70,90,90,80,80,90,70,50,30,20
,City Terminals,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Depot Road,"5,900",330,380,290,260,280,290,430,540,640,490,420,330,330,340,230,170,90,80
,Everton Park,"8,750",370,350,400,370,360,560,540,680,780,710,560,590,670,650,400,370,210,190
,Henderson Hill,"11,870",430,520,480,570,640,750,660,720,810,870,890,950,880,830,630,580,390,280
,Kampong Tiong Bahru,"9,810",300,340,420,420,490,610,570,570,700,750,770,820,840,790,530,460,280,180
,Maritime Square,"2,770",180,200,150,130,90,110,180,330,330,300,260,170,130,100,50,30,20,20
,Redhill,"12,190",630,790,560,540,580,750,740,"1,090","1,130",920,870,930,710,610,410,380,260,290
,Singapore General Hospital,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Telok Blangah Drive,"16,490",800,640,690,730,740,1090,"1,160","1,390","1,310","1,220","1,180","1,180","1,080","1,160",760,680,390,300
,Telok Blangah Rise,"13,080",410,420,530,560,720,830,710,920,"1,020",930,910,970,"1,130","1,160",740,580,300,240
,Telok Blangah Way,"10,160",380,460,400,410,460,530,520,740,810,770,810,850,810,730,520,450,270,240
,Tiong Bahru,"12,860",810,640,470,450,450,790,"1,120","1,280","1,170",860,790,760,880,780,560,490,240,320
,Tiong Bahru Station,"16,200",810,950,830,720,750,"1,070","1,080","1,390","1,430","1,310","1,110","1,110",940,850,570,610,360,300
Bukit Panjang,Total,"141,930","7,620","7,540","7,960","9,140","9,960","11,650","10,820","10,220","10,740","10,580","11,230","11,270","9,000","6,100","3,320","2,320","1,350","1,130"
,Bangkit,"23,240",740,870,"1,080","1,440","1,830","2,070","1,390","1,310","1,570","1,630","2,170","2,270","1,770","1,210",750,550,330,270
,Dairy Farm,"6,520",280,360,430,460,470,510,410,450,540,590,530,500,400,250,140,90,50,60
,Fajar,"28,770","1,910","1,790","1,650","1,680","1,960","2,520","2,450","2,310","2,160","1,950","2,150","2,000","1,640","1,140",620,430,240,180
,Jelebu,"32,130","1,040","1,330","1,720","2,270","2,560","2,780","1,850","1,860","2,310","2,570","2,840","2,970","2,320","1,580",890,610,380,260
,Nature Reserve,"3,870",170,200,240,280,270,270,200,250,300,370,360,310,240,180,90,70,40,30
,Saujana,"26,390","1,820","1,540","1,520","1,690","1,780","2,150","2,490","2,120","1,940","1,930","1,860","1,940","1,550",990,430,280,170,180
,Senja,"21,020","1,660","1,450","1,320","1,320","1,090","1,340","2,040","1,920","1,910","1,530","1,330","1,280","1,090",760,400,290,150,150
Bukit Timah,Total,"76,380","3,220","4,730","4,760","4,760","4,820","4,800","3,810","4,710","6,310","6,800","5,940","5,330","4,860","4,180","2,770","2,110","1,310","1,170"
,Anak Bukit,"21,970",760,"1,070","1,250","1,340","1,660","1,770","1,200","1,190","1,510","1,700","1,690","1,770","1,650","1,300",820,630,370,300
,Coronation Road,"6,260",290,490,380,360,360,370,270,400,550,580,470,370,320,340,260,210,130,110
,Farrer Court,"6,000",350,430,370,340,270,320,360,490,570,560,430,380,290,310,180,150,120,100
,Hillcrest,"8,980",410,680,590,610,490,420,380,600,820,870,750,600,470,400,320,260,160,170
,Holland Road,"10,440",470,760,790,730,620,510,480,650,"1,020","1,070",790,670,580,470,300,270,150,130
,Leedon Park,"6,400",300,320,360,380,370,370,330,430,540,630,530,420,400,360,290,160,90,100
,Swiss Club,"5,580",230,330,360,380,350,360,300,350,420,490,440,360,390,260,200,130,110,130
,Ulu Pandan,"10,750",410,640,660,620,700,680,500,610,880,910,840,760,750,730,420,310,190,140
Central Water Catchment,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Central Water Catchment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Changi,Total,"2,220",150,190,180,140,110,100,150,210,240,170,130,120,100,90,40,50,20,30
,Changi Airport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Changi Point,740,20,20,30,40,30,40,30,30,60,60,60,70,80,60,30,30,20,30
,Changi West,"1,480",130,170,140,100,80,60,120,180,190,110,70,40,20,30,10,20,10,-
Changi Bay,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Choa Chu Kang,Total,"186,580","8,610","9,270","10,760","14,010","16,490","15,340","12,670","12,640","13,340","15,300","17,270","14,350","10,650","6,880","3,550","2,620","1,590","1,240"
,Choa Chu Kang Central,"21,430",780,"1,020","1,280","1,590","2,000","1,630","1,230","1,410","1,600","1,840","2,180","1,730","1,230",800,450,340,190,130
,Choa Chu Kang North,"33,490","1,060","1,430","2,080","3,260","3,790","2,410","1,700","1,670","2,060","3,140","3,790","2,750","1,820","1,070",550,440,260,210
,Keat Hong,"29,340",2380,1660,"1,570","1,900","2,230","3,340","2,850","2,210","1,960","2,090","2,260","1,720",1260,810,440,300,210,160
,Peng Siang,"34,170","1,730","1,680","1,840","2,310","2,890","2,820","2,780","2,480","2,350","2,520","2,960","2,640","2,070","1,460",660,440,290,260
,Teck Whye,"25,880",870,980,"1,210","1,720","2,330","2,300","1,580","1,430","1,600","1,850","2,470","2,310","1,920","1,350",770,590,350,260
,Yew Tee,"42,280","1,800","2,500","2,790","3,230","3,250","2,840","2,540","3,440","3,770","3,870","3,620","3,210","2,350","1,370",690,510,290,230
Clementi,Total,"92,580","3,990","4,440","4,390","4,630","4,740","5,810","6,240","7,150","7,560","7,110","7,060","6,360","6,570","6,470","4,020","3,000","1,690","1,360"
,Clementi Central,"13,100",480,630,650,650,690,770,770,"1,000","1,110","1,050",990,930,930,950,580,450,280,210
,Clementi North,"30,360","1,370","1,260","1,170","1,320","1,380","1,930","2,400","2,460","2,440","2,180","2,220","1,930","2,150","2,280","1,470","1,140",650,600
,Clementi West,"16,180",590,750,780,850,850,"1,000",960,"1,260","1,330","1,320","1,310","1,230","1,320","1,130",650,460,240,170
,Clementi Woods,"16,160",870,790,760,810,810,"1,030","1,220","1,260","1,210","1,150","1,230","1,120","1,110","1,090",690,530,280,220
,Faber,"4,620",180,330,300,310,280,340,270,320,370,390,350,330,270,230,150,110,60,40
,Pandan,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sunset Way,"6,120",210,240,280,340,400,430,370,360,410,450,520,450,510,490,270,200,110,80
,Toh Tuck,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,West Coast,"6,010",310,460,450,360,340,310,260,470,690,560,450,360,290,300,200,110,60,50
Downtown Core,Total,"2,470",110,70,60,70,90,160,260,300,280,240,190,160,130,130,70,50,40,70
,Anson,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bayfront Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Bugis,840,10,20,20,30,40,50,60,60,70,70,70,50,60,80,40,40,20,30
,Cecil,220,20,10,10,10,10,10,30,30,40,20,10,10,10,10,-,-,-,-
,Central Subzone,610,40,20,20,20,20,50,60,90,80,70,40,50,30,20,10,-,-,-
,City Hall,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Clifford Pier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Marina Centre,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Phillip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Raffles Place,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tanjong Pagar,580,30,10,10,10,20,40,80,90,70,50,50,30,30,20,10,-,10,40
Geylang,Total,"113,460","4,280","4,730","5,020","5,650","6,830","8,520","7,600","8,060","8,610","8,360","8,880","9,330","8,610","6,930","4,240","3,560","2,250","2,010"
,Aljunied,"40,010","1,360","1,680","1,680","1,850","2,200","2,860","2,740","2,850","3,340","3,080","3,140","3,250","3,030","2,480","1,490","1,310",830,820
,Geylang East,"32,140","1,350","1,490","1,450","1,590","1,900","2,340","2,060","2,560","2,550","2,300","2,330","2,380","2,370","2,090","1,300",940,620,520
,Kallang Way,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Kampong Ubi,"12,600",440,490,620,700,950,"1,230",900,890,830,830,970,"1,200","1,060",700,370,220,110,90
,Macpherson,"28,680","1,130","1,060","1,270","1,510","1,780","2,090","1,900","1,760","1,890","2,140","2,430","2,510","2,150","1,650","1,080","1,080",680,570
Hougang,Total,"224,390","8,640","9,360","10,720","13,370","15,960","17,940","15,190","14,780","16,140","16,410","18,750","19,580","17,060","12,410","7,070","5,290","3,090","2,640"
,Defu Industrial Park,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Hougang Central,"4,760",120,170,240,320,390,430,270,270,280,390,420,450,350,250,140,110,90,70
,Hougang East,"24,820","1,430",1050,1040,"1,320","1,810","2,380","2,300","2,000","1,680","1,530","1,980","2,090","1,640","1,130",630,410,230,200
,Hougang West,"47,350","1,360","1,580","1,890","2,610","3,720","4,310","3,090","2,860","2,950","3,220","4,240","4,810","4,090","2,890","1,580",1050,630,480
,Kangkar,"30,180","1,560","1,360","1,490","1,700","1,760","2,230","2,510","2,160","2,410","2,250","2,340","2,320","2,120","1,570",930,760,430,310
,Kovan,"25,900",970,"1,170","1,340","1,640","1,880","2,130","1,490","1,630","2,010","2,000","1,950","2,110","1,940","1,400",820,680,340,390
,Lorong Ah Soo,"32,970","1,030","1,210","1,550","1,880","2,090","2,370","2,070","2,160","2,480","2,420","2,720","2,690","2,670","2,150","1,350",1040,600,510
,Lorong Halus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tai Seng,"14,290",460,660,730,900,"1,040","1,060",830,810,960,"1,060","1,150","1,200","1,110",860,470,440,300,270
,Trafalgar,"44,110","1,720","2,150","2,420","2,990","3,270","3,050","2,640","2,890","3,380","3,550","3,960","3,900","3,150","2,170",1170,810,470,430
Jurong East,Total,"83,590","3,190","3,540","4,080","4,780","5,320","6,610","5,780","5,870","6,170","6,160","6,330","6,770","6,660","5,400","2,890","2,040","1,070",930
,International Business Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Jurong Gateway,250,10,10,20,20,10,20,30,20,30,30,20,10,10,-,-,-,-,-
,Jurong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Jurong River,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Lakeside,910,30,30,30,30,50,70,80,60,70,80,60,60,70,90,50,50,20,10
,Penjuru Crescent,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Teban Gardens,"19,780","1,000",960,940,"1,060","1,130","1,420","1,500","1,510","1,470","1,350","1,410","1,410","1,440","1,420",810,490,250,200
,Toh Guan,"15,870",580,710,830,"1,000","1,170","1,400","1,050","1,120","1,150","1,210","1,270","1,440","1,290",800,350,240,140,120
,Yuhua East,"26,330",820,960,"1,240","1,420","1,630","2,020","1,820","1,880","1,940","1,950","2,000","2,140","2,190","1,810",1040,730,390,350
,Yuhua West,"20,420",760,860,"1,030","1,250","1,340","1,670","1,300","1,290","1,510","1,540","1,570","1,700","1,650","1,280",630,530,270,240
Jurong West,Total,"267,840","12,260","14,680","15,740","17,180","18,620","20,290","19,240","22,210","22,170","21,320","20,780","19,080","17,070","12,600","6,510","4,200","2,250","1,670"
,Boon Lay Place,"30,090","1,790","1,800","1,660","1,850","1,940","2,140","2,610","2,340","2,280","2,340","2,290","2,090","1,680","1,390",830,570,300,210
,Chin Bee,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Hong Kah,"55,420","1,990","2,390","2,890","3,330","3,570","4,330","3,720","4,010","4,310","4,260","4,210","4,270","4,480","3,460","1,900","1,230",630,460
,Jurong West Central,"67,630","3,500","4,580","4,470","4,020","3,760","4,930","5,260","6,940","6,660","5,490","4,520","4,340","3,920","2,630",1200,720,390,300
,Kian Teck,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Safti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Taman Jurong,"37,400","1,970","2,030","2,130","2,530","2,680","2,660","2,740","2,980","2,840","3,170","2,970","2,630","2,250","1,690",890,620,360,260
,Wenya,"8,560",590,740,630,440,360,470,740,"1,090",880,660,480,430,390,300,150,110,60,60
,Yunnan,"68,700","2,420","3,140","3,970","5,010","6,310","5,770","4,170","4,850","5,190","5,400","6,300","5,320","4,350","3,140","1,560",950,510,380
Kallang,Total,"101,610","4,110","4,340","4,350","4,580","4,960","6,390","6,650","7,790","8,430","8,050","7,670","7,870","7,410","6,730","4,280","3,770","2,230","2,000"
,Bendemeer,"34,860","1,640","1,560","1,410","1,460","1,640","2,410","2,680","3,090","2,910","2,600","2,330","2,520","2,500","2,260","1,380","1,170",700,610
,Boon Keng,"12,300",510,460,470,550,610,820,860,900,890,930,920,1010,930,850,540,510,290,280
,Crawford,"9,350",280,290,300,350,410,500,470,490,560,650,750,920,810,820,580,540,330,300
,Geylang Bahru,"12,320",380,450,540,630,680,730,670,830,980,"1,000","1,080","1,020",910,780,550,500,320,280
,Kallang Bahru,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Kampong Bugis,860,20,20,30,40,60,80,70,60,70,40,60,70,100,70,30,20,10,10
,Kampong Java,"10,850",390,490,480,500,550,690,660,780,950,900,810,790,750,760,490,410,230,230
,Lavender,"9,990",370,450,470,440,500,660,620,710,830,810,790,800,730,680,400,360,200,170
,Tanjong Rhu,"11,060",520,640,640,610,520,500,620,940,"1,240","1,120",920,740,690,510,340,250,140,130
Lim Chu Kang,Total,110,-,10,10,10,10,-,10,-,10,10,10,10,10,10,10,-,-,-
,Lim Chu Kang,110,-,10,10,10,10,-,10,-,10,10,10,10,10,10,10,-,-,-
Mandai,Total,"2,130",90,110,150,160,160,150,130,150,180,180,170,150,110,80,60,40,20,20
,Mandai East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Mandai Estate,"2,130",90,110,150,160,160,150,130,150,180,180,170,150,110,80,60,40,20,20
,Mandai West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marina East,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marina South,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Marina South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
