"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2017",,,,,,,,,,,,,,,,,,,,
Marine Parade,Total,"47,890","2,130","2,550","2,530","2,510","2,570","2,680","2,550","3,600","4,240","4,030","3,550","3,360","2,980","2,740","1,970","1,740","1,140",1040
,East Coast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Katong,"9,430",420,500,500,500,540,560,550,770,920,820,690,680,560,500,320,250,180,180
,Marina East (Mp),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Marine Parade,"28,080","1,210","1,500","1,450","1,400","1,430","1,470","1,400","2,030","2,430","2,310","2,070","1,960","1,780","1,650","1,280","1,270",780,680
,Mountbatten,"10,380",500,560,580,610,610,650,600,800,890,910,790,730,640,590,370,210,180,170
Museum,Total,400,20,20,10,10,10,20,30,60,70,40,40,20,20,10,10,-,10,10
,Bras Basah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Dhoby Ghaut,220,10,10,-,-,-,10,20,40,30,20,20,10,10,10,-,-,-,-
,Fort Canning,180,10,10,10,10,10,10,10,10,30,20,20,10,10,-,10,-,-,-
Newton,Total,"7,270",350,510,390,300,360,380,350,580,740,730,620,490,410,410,230,170,110,140
,Cairnhill,"3,520",180,250,180,150,180,190,200,290,360,360,280,240,180,210,100,70,60,60
,Goodwood Park,1060,60,100,80,50,50,50,40,100,130,100,90,50,60,40,20,10,10,30
,Istana Negara,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Monk's Hill,930,30,60,50,50,60,50,40,60,100,100,80,60,50,40,30,40,10,20
,Newton Circus,230,20,20,10,10,10,10,10,30,20,30,20,20,10,10,10,-,-,10
,Orange Grove,"1,480",60,90,70,50,70,80,60,110,140,140,150,120,120,110,70,40,20,20
North-Eastern Islands,Total,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,North-Eastern Islands,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Novena,Total,"48,590","2,140","2,810","2,490","2,410","2,560","3,010","2,900","3,720","4,450","4,060","3,790","3,390","3,000","2,580","1,810","1,500","1,000",990
,Balestier,"32,470","1,330","1,520","1,510","1,500","1,720","2,160","2,080","2,460","2,840","2,650","2,540","2,360","2,120","1,820","1,300","1,130",730,700
,Dunearn,"3,890",130,220,240,270,270,220,170,200,280,330,340,280,250,240,170,120,90,100
,Malcolm,"2,690",110,200,190,160,140,150,110,140,260,220,210,210,160,160,100,70,50,70
,Moulmein,"8,870",560,830,530,440,380,430,500,870,"1,060",810,650,480,410,320,210,170,120,100
,Mount Pleasant,680,20,30,30,50,50,50,40,40,20,40,70,60,50,40,30,10,20,10
Orchard,Total,960,40,60,40,50,30,50,60,70,80,90,90,80,70,60,40,20,10,20
,Boulevard,440,20,30,10,20,10,30,30,30,40,40,40,30,40,30,20,10,10,10
,Somerset,110,10,10,-,10,-,-,10,10,10,10,10,10,10,-,10,-,-,-
,Tanglin,410,20,30,20,20,20,20,20,30,30,40,40,40,20,30,20,10,-,10
Outram,Total,"20,840","1,000","1,040",730,650,760,"1,180","1,250","1,760","1,740","1,430","1,500","1,570","1,570","1,530",1020,920,550,670
,China Square,"1,500",40,30,30,40,70,80,100,90,110,100,110,130,160,160,100,90,40,40
,Chinatown,"11,320",700,740,430,340,390,630,730,"1,270","1,170",800,740,710,630,660,430,370,260,320
,Pearl's Hill,"7,710",260,260,260,260,290,430,380,370,430,490,630,710,760,690,480,460,230,300
,People's Park,320,10,-,-,10,10,30,40,30,30,40,20,20,20,20,10,10,10,10
Pasir Ris,Total,"144,960","5,850","6,970","8,170","11,180","13,990","11,220","8,170","9,260","10,380","11,700","14,810","11,980","8,310","5,410","2,870","2,120","1,360","1,220"
,Flora Drive,"14,510",630,740,880,"1,010","1,080",950,820,"1,100","1,340","1,270","1,310","1,100",850,540,330,260,160,170
,Loyang East,"2,150",60,70,120,150,190,170,100,110,140,170,170,220,190,120,70,40,30,30
,Loyang West,210,-,-,-,-,-,-,-,-,-,-,10,-,10,20,20,30,40,70
,Pasir Ris Central,"28,670","1,600","1,410","1,490","2,000","2,540","2,370","2,180","1,980","1,980","2,160","2,740","2,360","1,540",950,540,390,260,190
,Pasir Ris Drive,"56,970","1,800","2,450","3,060","4,470","6,080","4,950","2,740","3,110","3,490","4,200","6,070","5,190","3,700","2,510","1,240",870,540,490
,Pasir Ris Park,"6,680",440,550,440,460,370,350,490,790,790,640,570,310,190,120,80,50,20,20
,Pasir Ris Wafer Fab Park,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pasir Ris West,"35,750","1,320","1,750","2,190","3,080","3,720","2,440","1,840","2,170","2,640","3,260","3,940","2,790","1,840","1,130",600,480,320,250
Paya Lebar,Total,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Airport Road,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Paya Lebar East,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Paya Lebar North,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Paya Lebar West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Plab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pioneer,Total,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Benoi Sector,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Gul Basin,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Gul Circle,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Joo Koon,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pioneer Sector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punggol,Total,"146,640","15,970","12,530","8,750","6,520","5,170","8,360","18,700","18,670","14,420","9,610","7,450","5,950","5,110","4,150","2,280","1,530",810,660
,Coney Island,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Matilda,"42,490","5,630","3,740","2,100","1,600","1,330","2,230","6,590","5,970","3,890","2,400","1,830","1,500","1,300","1,110",590,370,190,140
,Northshore,290,10,10,20,20,30,20,10,10,30,20,40,20,20,10,10,10,-,10
,Punggol Canal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Punggol Field,"48,440","3,020","3,970","3,830","3,000","2,250","2,450","3,230","4,880","5,720","4,190","3,170","2,650","2,180","1,640",950,640,360,300
,Punggol Town Centre,"14,560","2,200",1270,590,410,330,1090,"2,780","2,250",1070,700,530,350,350,290,140,110,60,50
,Waterway East,"40,860","5,120","3,550","2,220","1,490","1,240","2,570","6,090","5,550","3,720","2,290","1,880","1,430","1,260",1100,600,400,200,160
Queenstown,Total,"97,600","4,570","4,380","4,190","4,510","4,910","6,210","6,880","7,640","7,830","7,430","7,410","6,700","6,270","5,950","4,170","3,980","2,560","2,020"
,Commonwealth,"7,710",260,260,300,330,330,530,450,530,580,580,660,590,550,500,340,390,300,230
,Dover,"11,710",470,680,650,630,660,710,620,920,"1,000",970,920,830,670,690,480,410,240,180
,Ghim Moh,"11,730",520,520,490,540,620,700,810,820,840,850,830,740,720,810,660,600,400,270
,Holland Drive,"13,610",460,420,460,560,600,850,810,960,"1,110","1,090","1,010",960,920,990,760,790,470,370
,Kent Ridge,940,20,40,60,40,50,80,70,60,80,80,90,70,70,70,40,20,10,10
,Margaret Drive,"14,320","1,360",900,570,540,530,780,"1,710","1,690","1,240",900,830,710,700,680,410,370,240,170
,Mei Chin,"16,250",540,650,760,900,"1,020","1,100",970,980,"1,150","1,270","1,410","1,310","1,210",910,590,680,420,390
,National University Of S'pore,230,10,10,10,10,60,50,10,10,20,10,10,10,10,-,-,-,-,-
,One North,610,40,40,30,20,30,30,40,70,90,80,50,30,20,20,10,-,-,-
,Pasir Panjang 1,"4,250",200,210,220,240,250,320,290,370,400,370,340,290,260,210,130,80,40,40
,Pasir Panjang 2,"3,330",120,130,150,200,250,250,210,220,240,240,280,260,320,230,110,70,30,30
,Port,120,-,-,-,10,10,10,10,10,-,10,10,20,10,10,10,-,-,-
,Queensway,280,10,-,10,20,20,20,20,20,30,30,30,10,20,20,10,10,-,-
,Singapore Polytechnic,130,10,10,10,10,10,10,10,20,20,10,10,10,10,-,-,-,-,-
,Tanglin Halt,"12,370",530,510,460,470,480,770,850,980,"1,040",940,940,860,780,820,610,560,420,340
River Valley,Total,"9,730",500,560,540,450,440,510,630,890,"1,070",1030,740,590,540,470,330,200,120,130
,Institution Hill,"3,460",240,240,200,140,130,180,260,370,440,330,230,160,170,170,80,70,30,30
,Leonie Hill,"2,740",120,160,160,140,130,150,160,270,330,340,210,180,140,110,90,30,20,30
,One Tree Hill,"1,880",80,90,90,110,110,100,100,110,150,190,180,150,120,110,90,50,30,40
,Oxley,"1,440",50,60,70,60,70,80,90,120,130,140,110,90,90,80,70,50,30,40
,Paterson,210,10,10,20,10,10,10,20,20,20,30,20,20,10,10,-,10,-,-
Rochor,Total,"13,900",470,510,550,570,630,850,880,"1,140","1,220","1,040","1,060","1,100","1,000",970,630,520,360,420
,Bencoolen,"1,380",50,50,40,50,60,80,110,90,110,110,110,130,100,100,50,50,50,50
,Farrer Park,"2,950",90,140,130,130,140,170,180,270,270,240,210,210,230,170,120,80,60,100
,Kampong Glam,180,10,10,10,-,10,10,10,10,20,10,10,10,10,10,-,10,10,30
,Little India,"3,620",100,110,130,180,180,240,190,270,280,260,280,310,280,280,170,170,90,110
,Mackenzie,130,10,10,10,10,-,-,20,20,20,10,10,10,10,-,-,-,-,-
,Mount Emily,"1,190",60,60,70,40,30,60,100,180,180,110,80,60,60,50,20,10,10,20
,Rochor Canal,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Selegie,230,10,10,10,10,10,10,10,30,30,10,20,20,20,10,10,10,10,10
,Sungei Road,"2,240",90,80,110,110,120,140,140,130,150,150,190,180,140,170,130,100,80,40
,Victoria,"1,980",50,50,50,60,80,130,130,140,150,120,160,170,170,180,130,80,70,60
Seletar,Total,210,10,10,10,20,10,-,10,10,40,30,20,20,20,10,-,10,-,-
,Pulau Punggol Barat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pulau Punggol Timor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Seletar,190,10,10,10,20,10,-,-,10,40,30,20,10,20,-,-,-,-,-
,Seletar Aerospace Park,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sembawang,Total,"79,740","4,310","5,310","5,420","5,340","4,680","5,450","5,840","7,010","7,650","6,770","6,050","5,330","4,110","2,620","1,530","1,100",650,580
,Admiralty,"14,480",950,"1,020","1,010",890,710,950,"1,210","1,340","1,460","1,150",990,900,670,470,310,210,140,100
,Sembawang Central,"29,810","1,450","1,880","1,920","2,120","1,910","2,140","2,100","2,500","2,810","2,600","2,380","2,120","1,580",970,500,390,230,200
,Sembawang East,1580,150,100,90,70,70,220,190,120,160,110,100,70,50,40,30,20,-,10
,Sembawang North,"26,970","1,500","1,910","1,930","1,760","1,500","1,690","2,030","2,610","2,590","2,260","1,960","1,800","1,440",880,490,330,170,140
,Sembawang Springs,"5,100",190,290,370,380,340,320,230,330,480,500,450,300,260,180,160,110,90,110
,Sembawang Straits,"1,760",80,110,100,120,150,120,80,110,150,150,160,140,100,70,50,30,20,20
,Senoko North,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Senoko South,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,The Wharves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sengkang,Total,"232,100","17,660","16,400","14,090","13,090","11,920","15,710","22,540","23,580","21,310","16,970","14,870","13,990","11,340","8,000","4,440","3,070","1,650","1,480"
,Anchorvale,"39,370","3,320","3,000","2,690","2,100","1,610","2,600","4,160","3,930","4,090","2,900","2,140","2,170","1,770","1,280",720,500,210,200
,Compassvale,"20,810","2,170","1,820","1,220",700,620,"1,220","2,520","3,060","2,280","1,190",930,810,800,650,370,260,120,70
,Fernvale,"49,770","5,490","4,230","2,730","2,170","1,810","2,960","6,340","6,160","4,460","3,070","2,590","2,190","1,830","1,480",880,650,370,360
,Lorong Halus North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Rivervale,"61,380","3,090","3,560","3,890","4,240","4,140","4,290","4,340","4,800","5,410","5,020","4,680","4,670","3,730","2,470","1,320",870,470,420
,Sengkang Town Centre,"60,770","3,590","3,800","3,570","3,880","3,730","4,640","5,180","5,640","5,070","4,790","4,540","4,140","3,220","2,120",1160,800,490,430
,Sengkang West,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Serangoon,Total,"119,140","3,830","4,770","5,600","7,090","8,500","9,720","7,130","7,150","8,020","8,570","9,400","10,360","9,950","7,530","4,310","3,320","2,020","1,860"
,Lorong Chuan,"8,430",320,420,500,620,650,630,390,450,610,700,750,710,560,390,250,200,140,150
,Seletar Hills,"14,030",510,610,700,950,"1,100","1,140",670,770,930,1010,"1,130","1,150","1,070",890,520,410,250,220
,Serangoon Central,"25,640",780,890,"1,080","1,310","1,550","2,260","1,820","1,540","1,780","1,840","1,850","2,330","2,380","1,760",960,770,410,350
,Serangoon Garden,"38,120","1,120","1,400","1,680","2,160","2,620","2,950","2,280","2,200","2,480","2,620","2,900","3,300","3,340","2,680","1,620","1,190",810,780
,Serangoon North,"16,660",550,750,920,"1,190","1,500","1,250",960,"1,100","1,110","1,290","1,580","1,410","1,270",800,410,290,160,130
,Serangoon North Ind Estate,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Upper Paya Lebar,"16,240",560,700,720,860,"1,100","1,490",1010,"1,090","1,110","1,110","1,190","1,460","1,330","1,020",550,460,250,230
Simpang,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pulau Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Simpang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Simpang South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tanjong Irau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Singapore River,Total,"2,900",230,200,140,100,90,110,200,390,400,350,190,150,120,90,60,40,20,30
,Boat Quay,140,10,-,10,-,-,-,10,10,20,10,10,10,10,10,10,10,-,10
,Clarke Quay,120,10,-,-,10,-,10,10,20,10,20,10,10,-,-,-,-,-,10
,Robertson Quay,"2,640",210,200,130,90,90,100,170,360,370,330,170,130,100,80,50,40,10,10
Southern Islands,Total,"1,690",110,100,90,100,80,80,80,150,170,220,190,140,90,50,20,10,10,-
,Sentosa,"1,690",110,100,90,100,80,80,80,150,170,220,190,140,90,50,20,10,10,-
,Southern Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Straits View,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Straits View,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sungei Kadut,Total,770,30,40,30,40,50,50,40,50,50,70,60,60,50,50,30,30,30,20
,Gali Batu,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Kranji,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pang Sua,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Reservoir View,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Turf Club,680,30,30,20,40,50,50,40,40,40,60,50,50,40,50,30,30,20,10
Tampines,Total,"258,310","11,230","11,670","12,400","16,000","20,300","21,560","17,750","17,910","17,450","18,220","21,360","22,690","19,530","13,320","6,740","4,830","2,910","2,450"
,Simei,"41,190","1,760","1,980","2,060","2,560","3,040","3,240","2,560","3,180","3,210","3,050","3,290","3,550","2,880","2,100",1040,780,460,450
,Tampines East,"136,050","5,710","5,890","6,350","8,350","11,040","11,330","9,390","9,170","8,690","9,450","11,490","12,140","10,640","7,180","3,640","2,650","1,610","1,320"
,Tampines North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tampines West,"79,280","3,710","3,740","3,910","4,940","6,030","6,840","5,710","5,480","5,440","5,600","6,350","6,800","5,870","3,960","2,010","1,380",840,670
,Xilin,"1,790",40,60,80,150,190,150,90,70,110,120,230,200,140,80,40,20,20,10
Tanglin,Total,"20,370","1,080","1,440","1,170","1,060",970,980,"1,110","1,660","2,040","1,980","1,650","1,360","1,160","1,040",650,470,260,290
,Chatsworth,"6,280",350,410,330,280,260,270,440,620,720,690,480,380,310,290,190,140,70,70
,Nassim,"9,120",500,750,580,490,430,430,410,710,920,830,760,600,520,490,270,190,110,130
,Ridout,"1,370",70,70,80,70,80,80,70,90,110,120,90,100,100,80,60,30,30,30
,Tyersall,"3,600",160,210,190,220,200,200,180,230,290,330,320,280,240,190,130,110,60,60
Tengah,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tengah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toa Payoh,Total,"121,770","4,610","5,310","5,440","5,950","6,990","7,910","7,270","8,510","9,500","9,300","9,360","9,590","8,800","7,560","5,310","4,920","2,870","2,590"
,Bidadari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Boon Teck,"14,340",500,580,660,750,870,910,720,790,920,"1,010","1,150","1,220","1,150",870,740,680,430,390
,Braddell,"10,400",390,440,510,540,670,690,610,670,720,800,820,800,780,630,420,440,230,250
,Joo Seng,"7,550",300,380,340,350,420,560,500,590,660,560,540,570,530,430,280,250,150,140
,Kim Keat,"8,450",240,310,310,380,540,670,510,550,570,610,650,770,690,590,400,330,190,150
,Lorong 8 Toa Payoh,"7,760",210,270,280,390,490,500,420,450,560,590,610,690,560,570,380,390,230,190
,Pei Chun,"11,250",350,460,550,630,610,630,570,710,890,970,980,910,790,670,510,510,290,220
,Potong Pasir,"12,030",400,460,480,510,620,830,790,830,960,930,890,950,"1,090",990,560,390,220,160
,Sennett,"4,960",180,220,240,280,310,360,280,330,350,310,340,390,380,310,220,170,110,180
,Toa Payoh Central,"29,700","1,550","1,610","1,430","1,410","1,650","1,720","1,970","2,550","2,640","2,340","2,180","2,090","1,760","1,530","1,070","1,040",620,550
,Toa Payoh West,"12,910",380,450,480,580,650,870,750,840,"1,030",960,"1,040","1,050",920,870,660,690,380,330
,Woodleigh,"2,420",120,150,160,140,160,160,150,200,230,230,170,170,160,110,50,30,20,20
Tuas,Total,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tengeh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tuas Bay,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tuas North,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tuas Promenade,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tuas View,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Tuas View Extension,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Islands,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Jurong Island And Bukom,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Semakau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sudong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Water Catchment,Total,710,40,40,30,40,50,40,60,70,80,60,50,60,50,10,10,10,10,20
,Western Water Catchment,710,40,40,30,40,50,40,60,70,80,60,50,60,50,10,10,10,10,20
Woodlands,Total,"250,170","11,670","13,320","15,420","19,830","21,090","19,040","17,120","18,160","19,220","21,540","21,760","18,180","13,460","8,710","4,750","3,490","1,970","1,460"
,Greenwood Park,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Midview,"36,790","1,830","1,840","2,170","3,260","3,610","3,050","2,600","2,330","2,390","3,190","3,450","2,600","1,820","1,080",600,490,270,230
,North Coast,"13,440",440,460,600,870,"1,110","1,070",820,840,840,"1,000","1,240","1,210",990,800,500,340,200,120
,Senoko West,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Woodgrove,"35,550","1,240","1,580","2,060","3,000","3,620","2,920","2,060","2,210","2,530","3,230","3,480","2,710","2,050","1,220",630,460,310,260
,Woodlands East,"93,370","4,590","5,320","6,330","7,520","7,330","6,820","6,510","7,320","8,090","8,420","7,950","6,500","4,500","2,790","1,390",1010,550,420
,Woodlands Regional Centre,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Woodlands South,"38,800","2,250","2,740","2,750","3,070","2,630","2,530","2,980","3,490","3,380","3,370","2,790","2,330","1,730","1,240",700,440,230,160
,Woodlands West,"32,150","1,310","1,380","1,510","2,120","2,790","2,650","2,140","1,960","1,990","2,320","2,850","2,840","2,370","1,570",920,740,410,280
Yishun,Total,"210,440","11,560","10,420","10,260","11,870","13,880","17,780","17,450","16,430","15,470","14,810","16,840","16,950","13,960","9,850","5,350","3,780","2,120","1,660"
,Khatib,"10,570",330,380,420,530,790,"1,020",690,670,680,710,970,"1,090",870,660,330,220,130,100
,Lower Seletar,"10,330",1320,750,620,500,460,1200,1440,970,810,670,490,410,260,200,110,60,40,30
,Nee Soon,890,40,50,50,50,50,60,50,50,90,80,90,70,60,40,30,20,20,10
,Northland,"29,920","1,130","1,270","1,500","1,860","2,250","2,550","2,050","2,070","2,140","2,220","2,520","2,850","2,170","1,530",740,580,280,220
,Springleaf,"4,070",140,160,250,270,350,360,180,220,260,270,300,370,300,270,190,100,40,50
,Yishun Central,"1,420",50,50,40,80,140,130,90,100,80,70,130,140,130,80,60,30,20,10
,Yishun East,"57,540","5,040","3,800","2,760","3,080","3,390","4,500","6,540","5,610","4,210","3,560","4,050","3,690","2,940","2,030",1030,660,410,260
,Yishun South,"38,240","1,350","1,530","1,830","2,130","2,800","3,500","2,530","2,560","2,770","2,750","3,320","3,440","2,940","2,040",1090,820,460,390
,Yishun West,"57,470","2,170","2,430","2,800","3,370","3,650","4,460","3,880","4,190","4,450","4,480","4,990","4,890","4,310","3,010","1,770","1,290",740,590
